OrganizationId;Name
921785410;NÆRØYSUND KOMMUNE
921233418;ORKLAND KOMMUNE
943464723;OS KOMMUNE
944350675;OSEN KOMMUNE
939896600;OVERHALLA KOMMUNE
939991034;PORSGRUNN KOMMUNE
945372281;RAKKESTAD KOMMUNE
940028515;RENDALEN KOMMUNE
940083672;RENNEBU KOMMUNE
940138051;RINDAL KOMMUNE
939864970;RINGEBU KOMMUNE
940100925;RINGERIKE KOMMUNE
945717173;RØDØY KOMMUNE
939898743;RØROS KOMMUNE
945037687;RØST KOMMUNE
940802652;RÅDE KOMMUNE
938801363;SARPSBORG KOMMUNE
939617671;SEL KOMMUNE
921369417;SENJA KOMMUNE
939865942;SKAUN KOMMUNE
938759839;SKIEN KOMMUNE
941962726;SKIPTVET KOMMUNE
941812716;SKJERVØY KOMMUNE
945012986;SMØLA KOMMUNE
922121893;SOGNDAL KOMMUNE
921060157;STAD KOMMUNE
939958851;STJØRDAL KOMMUNE
939866914;STORD KOMMUNE
921244207;SUNNFJORD KOMMUNE
944810277;SØMNA KOMMUNE
941827195;SØR-FRON KOMMUNE
942110286;SØR-VARANGER KOMMUNE
940755603;SØRREISA KOMMUNE
940192404;TOLGA KOMMUNE
940101808;TROMSØ KOMMUNE
942110464;TRONDHEIM KOMMUNE
940837685;TYNSET KOMMUNE
921383681;TØNSBERG KOMMUNE
941017975;VEGA KOMMUNE
938587418;VERDAL KOMMUNE
943485437;VESTBY KOMMUNE
939901965;VESTNES KOMMUNE
942570619;VESTVÅGØY KOMMUNE
940651034;VEVELSTAD KOMMUNE
937498764;VIK KOMMUNE
939760946;VOLDA KOMMUNE
938644500;VÅGAN KOMMUNE
939607706;VÅGÅ KOMMUNE
921806027;ØRLAND KOMMUNE
939461450;ØRSTA KOMMUNE
922530890;ØYGARDEN KOMMUNE
921875533;ÅFJORD KOMMUNE
964968330;ASKVOLL KOMMUNE
964338442;ASKØY KOMMUNE
964981337;AUKRA KOMMUNE
964968063;AURLAND KOMMUNE
961147867;BEIARN KOMMUNE
964338531;BERGEN KOMMUNE
962388108;BERLEVÅG KOMMUNE
964983380;BINDAL KOMMUNE
964965870;BIRKENES KOMMUNE
970490361;BJERKREIM KOMMUNE
964979723;BOKN KOMMUNE
959318166;BREMANGER KOMMUNE
964983291;BRØNNØY KOMMUNE
964966397;BYGLAND KOMMUNE
958814968;BYKLE KOMMUNE
959469326;DIELDDANUORI SUOHKAN - TJELDSUND KOMMUNE
964948054;EIDSKOG KOMMUNE
964950113;EIDSVOLL KOMMUNE
964949581;ENEBAKK KOMMUNE
964948976;ENGERDAL KOMMUNE
959435375;ETNE KOMMUNE
964966109;EVJE OG HORNNES KOMMUNE
964083266;FARSUND KOMMUNE
964967369;FLEKKEFJORD KOMMUNE
964951462;FLÅ KOMMUNE
963999089;FROGN KOMMUNE
964982597;FRØYA KOMMUNE
964980721;GISKE KOMMUNE
964981426;GJEMNES KOMMUNE
964964998;GJERSTAD KOMMUNE
964978573;GJESDAL KOMMUNE
964969124;GLOPPEN KOMMUNE
964952612;GOL KOMMUNE
961381541;GRAN KOMMUNE
959469415;GRATANGEN KOMMUNE
964948143;GRUE KOMMUNE
958501420;HADSEL KOMMUNE
959159092;HALDEN KOMMUNE
970540008;HAMAR KOMMUNE
970542507;HAMARØY KOMMUNE
964979278;HAREID KOMMUNE
964830711;HASVIK KOMMUNE
964952701;HEMSEDAL KOMMUNE
964978840;HERØY KOMMUNE
960010833;HOLE KOMMUNE
964951284;HORTEN KOMMUNE
964947082;HVALER KOMMUNE
964967547;HYLLESTAD KOMMUNE
959220476;HØYLANDET KOMMUNE
964969590;HÅ KOMMUNE
961381363;JEVNAKER KOMMUNE
963376030;KARASJOGA GIELDA / KARASJOK KOMMUNE
963946902;KRAGERØ KOMMUNE
991891919;KRISTIANSUND KOMMUNE
964962855;KRØDSHERAD KOMMUNE
